Антигуа и Барбуда, Сент-Джонс, восточнокарибский доллар, XCD, Antigua and Barbuda, ,
Белиз, Бельмопан, белизский доллар, BZD, Belize, ,
Британский Гондурас, Бельмопан, белизский доллар, BZD, Belize, ,
Боливия, Сукре, боливиано, BOB, Bolivia, ,
Бразилия, Бразилиа, реал, BRL, Brazil, ,
Федеративная Республика Бразилии, Бразилиа, реал, BRL, Brazil, ,
Венесуэла, Каракас, суверенный боливиар, VES, Venezuela, ,
Гайана, Джорджтаун, гайанский доллар, GYD, Guyana, ,
Гаити, Порт-о-Пренс, гурд, HTG, Haiti, ,
Гватемала, Гватемала, кетсаль, GTQ, Guatemala, ,
Гондурас, Тегусигальпа, лемпира, HNL, Honduras, ,
Гренада, Сент-Джорджес, восточнокарибский доллар, XCD, Grenada, ,
Доминика, Розо, восточнокарибский доллар, XCD, Dominica, ,
Доминиканская Республика, Санто-Доминго, песо Доминиканской Республики, DOP, Dominican Republic, ,
Доминикана, Санто-Доминго, песо Доминиканской Республики, DOP, Dominican Republic, ,
Канада, Оттава, канадский доллар, CAD, Canada, ,
Колумбия, Богота, колумбийское песо, COP, Colombia, ,
Коста-Рика, Сан-Хосе, коста-риканский колон, CRC, Costa Rica, ,
Куба, Гавана, кубинское песо, CUP, Cuba, ,
Мексика, Мехико, мексиканское песо, MXN, Mexico, ,
Никарагуа, Манагуа, никарагуанская кордоба, NIO, Nicaragua, ,
Панама, Панама, бальбоа, PAB, Panama, ,
Парагвай, Асунсьон, гуарани, PYG, Paraguay, ,
Перу, Лима, перуанский соль, PEN, Peru, ,
Сальвадор, Сан-Сальвадор, доллар США, USD, Salvador, ,
Сент-Винсент и Гренадины, Кингстаун, восточнокарибский доллар, XCD, St. Vincent & Grenadines, ,
Сент-Китс и Невис, Бастер, восточнокарибский доллар, XCD, Saint Kitts & Nevis, ,
Федерация Сент-Кристофер и Невис, Бастер, восточнокарибский доллар, XCD, Saint Kitts & Nevis, ,
Сент-Люсия, Кастри, восточнокарибский доллар, XCD, Saint Lucia, ,
Суринам, Парамарибо, суринамский доллар, SRD, Suriname, ,
Нидерландская Гвиана, Парамарибо, суринамский доллар, SRD, Suriname, ,
Сша, Вашингтон, доллар США, USD, United States, ,
Соединённые Штаты Америки, Вашингтон, доллар США, USD, United States, ,
Соединенные Штаты Америки, Вашингтон, доллар США, USD, United States, ,
Соединённые Штаты, Вашингтон, доллар США, USD, United States, ,
Соединенные Штаты, Вашингтон, доллар США, USD, United States, ,
С.Ш.А, Вашингтон, доллар США, USD, United States, ,
Тринидад и Тобаго, Порт-оф-Спейн, доллар, TTD, Trinidad and Tobago, ,
Уругвай, Монтевидео, уругвайское песо, UYU, Uruguay, ,
Чили, Сантьяго, чилийское песо, CLP, Chile, ,
Эквадор, Кито, доллар США, USD, Ecuador, ,
Ямайка, Кингстон, ямайский доллар, JMD, Jamaica, , 
Аргентина, Буэнос-Айрес, аргентинское песо, ARS, Argentina, ,
