Австралия, Канберра, австралийский доллар, AUD, ,
Содружество Австралии, Канберра, австралийский доллар, AUD, ,
Вануату, Порт-Вила, вату, VUV, ,
Американское Самоа, Паго-Паго, доллар США, USD, ,
Восточное Самоа, Паго-Паго, доллар США, USD, ,
Гуам, Хагатна, доллар США, USD, ,
Территория Гуам, Хагатна, доллар США, USD, ,
Самоа, Апиа, самоанская тала, WST, ,
Западное Самоа, Апиа, самоанская тала, WST, ,
Кирибати, Баирики, австралийский доллар, AUD, ,
Острова Кука, Аваруа, новозеландский доллар, NZD, ,
Маршалловы острова, Маджуро, доллар США, USD, ,
Ниуэ, Алофи, новозеландский доллар, NZD, ,
Новая Зеландия, Веллингтон, новозеландский доллар, NZD, ,
Новая Каледония, Нумеа, франк, XPF, ,
Норфолк, Кингстон, австралийский доллар, AUD, ,
Остров Норфолк, Кингстон, австралийский доллар, AUD, ,
Палау, Нгерулмуд, доллар США, USD, ,
Папуа-Новая Гвинея, Порт-Морсби, кина, PGK, ,
Независимое Государство Папуа Новая Гвинея, Порт-Морсби, кина, PGK, ,
Острова Питкэрн, Адамстаун, новозеландский доллар, NZD, ,
Северные Марианские Острова, Сайпан, доллар США, USD, ,
Соломоновы острова, Хониара, доллар Соломоновых Островов, SBD, ,
Тонга, Нукуалофа, тонганская паанга, TOP, ,
Тувалу, Фунафути, австралийский доллар, AUD, ,
Острова Эллис, Фунафути, австралийский доллар, AUD, ,
Острова Уоллис и Футуна, Мата-Уту, франк, XPF, ,
Уоллис И Футуна, Мата-Уту, франк, XPF, ,
Федеративные Штаты Микронезии, Паликир, доллар США, USD, ,
Микронезия, Паликир, доллар США, USD, ,
Фиджи, Сува, доллар Фиджи, FJD, ,
Французская Полинезия, Папеэте, франк, XPF, ,
