Алжир, Алжир, алжирский динар, DZD, Algeria, Африке, ,
АНДР, Алжир, алжирский динар, DZD, Algeria, Африке, ,
Алжирская Народная Демократическая Республика, Алжир, алжирский динар, DZD, Algeria, Африке, ,
Ангола, Луанда, кванза, AOA, Angola, Африке, ,
Бенин, Порто-Ново, франк КФА ВСЕАО, XOF, Benin, Африке, ,
Ботсвана, Габороне, пула, BWP, Botswana, Африке, ,
Буркина-Фасо, Уагадугу, франк КФА ВСЕАО, XOF, Burkina Faso, Африке, ,
Верхняя Вольта, Уагадугу, франк КФА ВСЕАО, XOF, Burkina Faso, Африке, ,
Бурунди, Бужумбура, бурундийский франк, BIF, Burundi, Африке, ,
Габон, Либревиль, франк КФА ВЕАС, XAF, Gabon, Африке, ,
Гамбия, Банжул, даласи, GMD, Gambia, Африке, ,
Гана, Аккра, седи, GHS, Ghana, Африке, ,
Гвинея, Конакри, гвинейский франк, GNF, Guinea, Африке, ,
Гвинея-Конакри, Конакри, гвинейский франк, GNF, Guinea, Африке, ,
Гвинея-Бисау, Бисау, франк КФА ВСЕАО, XOF, Guinea-Bissau, Африке, ,
Демократическая Республика Конго, Киншаса, конголезский франк, CDF, DR Congo, Африке, ,
Дрк, Киншаса, конголезский франк, CDF, DR Congo, Африке, ,
Др Конго, Киншаса, конголезский франк, CDF, DR Congo, Африке, ,
Джибути, Джибути, франк Джибути, DJF, Djibouti, Африке, ,
Египет, Каир, лира, EGP, Egypt, Африке, ,
Замбия, Лусака, замбийская квача, ZMW, Zambia, Африке, ,
Зимбабве, Хараре, доллар США, USD, Zimbabwe, Африке, ,
Кабо-Верде, Прая, эскудо Кабо-Верде, CVE, Cabo Verde, Африке, ,
Камерун, Яунде, франк КФА ВЕАС, XAF, Cameroon, Африке, ,
Кения, Найроби, кенийский шиллинг, KES, Kenya, Африке, ,
Коморы, Морони, франк Комор, KMF, Comoros, Африке, ,
Коморские острова, Морони, франк Комор, KMF, Comoros, Африке, ,
Республика Конго, Браззавиль, франк КФА ВСЕАО, XOF, Congo, Африке, ,
Кот-Д’Ивуар, Ямусукро, франк КФА ВСЕАО, XOF, Côte d'Ivoire, Африке, ,
Лесото, Масеру, лоти, LSL, Lesotho, Африке, ,
Либерия, Монровия, либерийский доллар, LRD, Liberia, Африке, ,
Ливия, Триполи, ливийский динар, LYD, Libya, Африке, ,
Маврикий, Порт-Луи, маврикийская рупия, MUR, Mauritius, Африке, ,
Мавритания, Нуакшот, угия, MRU, Mauritania, Африке, ,
