Австрия, Вена, евро, EUR, Austria, ,
Албания, Тирана, лек, ALL, Albania, ,
Андорра, Андорра-ла-Велья, евро, EUR, Andorra, ,
Беларусь, Минск, белорусский рубль, BYN, Belarus, ,
Белоруссия, Минск, белорусский рубль, BYN, Belarus, ,
Бельгия, Брюссель, евро, EUR, Belgium, ,
Королевство Бельгии, Брюссель, евро, EUR, Belgium, ,
Болгария, София, лев, BGN, Bulgaria, ,
Босния И Герцеговина, Сараево, конвертируемая марка, BAM, Bosnia and Herzegovina, ,
Биг, Сараево, конвертируемая марка, BAM, Bosnia and Herzegovina, ,
Ватикан, Ватикан, евро, EUR, Holy See, ,
Великобритания, Лондон, фунт стерлингов, GBP, United Kingdom, ,
Соединённое Королевство, Лондон, фунт стерлингов, GBP, United Kingdom, ,
Соединенное Королевство, Лондон, фунт стерлингов, GBP, United Kingdom, ,
Венгрия, Будапешт, форинт, HUF, Hungary, ,
Германия, Берлин, евро, EUR, Germany, ,
Греция, Афины, евро, EUR, Greece, ,
Третья Греческая Республика, Афины, евро, EUR, Greece, ,
Дания, Копенгаген, датская крона, DKK, Denmark, ,
Ирландия, Дублин, евро, EUR, Ireland, ,
Республика Ирландия, Дублин, евро, EUR, Ireland, ,
Исландия, Рейкьявик, исландская крона, ISK, Iceland, ,
Испания, Мадрид, евро, EUR, Spain, ,
Италия, Рим, евро, EUR, Italy, ,
Латвия, Рига, евро, EUR, Latvia, ,
Литва, Вильнюс, евро, EUR, Lithuania, ,
Лихтенштейн, Вадуц, швейцарский франк, CHF, Liechtenstein, , 
Люксембург, Люксембург, евро, EUR, Luxembourg, ,
Северная Македония, Скопье, македонский денар, MKD, North Macedonia, ,
Мальта, Валлетта, евро, EUR, Malta, ,
Молдавия, Кишинёв, молдавский лей, MDL, Moldova, ,
Молдова, Кишинёв, молдавский лей, MDL, Moldova, ,
Монако, Монако, евро, EUR, Monaco, ,
Нидерланды, Амстердам, евро, EUR, Netherlands, ,
Норвегия, Осло, норвежская крона, NOK, Norway, ,
